date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:02:49	301065/301065	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Oct%202022%2014:02:49%20GMT	https://www.thelogistixco.com/	C:/inetrship/rishul/www.thelogistixco.com/index.html	(from )
07:02:49	96/96	---MCZ	200	added ('OK')	text/plain	date:Sat,%2001%20Oct%202022%2014:02:49%20GMT	https://www.thelogistixco.com/robots.txt		(from )
07:02:50	72886/72886	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Oct%202022%2014:02:51%20GMT	https://www.thelogistixco.com/o,baseURI	C:/inetrship/rishul/www.thelogistixco.com/o,baseURI	(from https://www.thelogistixco.com/)
07:02:51	72886/72886	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Oct%202022%2014:02:52%20GMT	https://www.thelogistixco.com/GET	C:/inetrship/rishul/www.thelogistixco.com/GET	(from https://www.thelogistixco.com/)
07:02:53	72886/72886	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Oct%202022%2014:02:53%20GMT	https://www.thelogistixco.com/Edge/	C:/inetrship/rishul/www.thelogistixco.com/Edge/index.html	(from https://www.thelogistixco.com/)
07:02:53	546490/546490	---M--	200	added ('OK')	image/jpeg	etag:%22633490ac-85742%22	https://cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/AdobeStock_330944651.jpg	C:/inetrship/rishul/cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/AdobeStock_330944651.jpg	(from https://www.thelogistixco.com/)
07:02:53	4838/4838	---M--	200	added ('OK')	image/png	etag:%22633490ab-1368%22	https://cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/Mask-Group-1@2x.png	C:/inetrship/rishul/cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/Mask-Group-1@2x.png	(from https://www.thelogistixco.com/)
07:02:54	58050/58050	---M--	200	added ('OK')	image/jpeg	etag:%22633490ae-e340%22	https://cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/Liquid-Bulk.jpg	C:/inetrship/rishul/cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/Liquid-Bulk.jpg	(from https://www.thelogistixco.com/)
07:02:55	55199/55199	---MCZ	200	added ('OK')	application/json	date:Sat,%2001%20Oct%202022%2014:02:55%20GMT	https://www.thelogistixco.com/wp-json/wp/v2/pages/1378	C:/inetrship/rishul/www.thelogistixco.com/wp-json/wp/v2/pages/1378.json	(from https://www.thelogistixco.com/)
07:02:56	841/841	---MCZ	200	added ('OK')	text/xml	date:Sat,%2001%20Oct%202022%2014:02:56%20GMT	https://www.thelogistixco.com/xmlrpc.php?rsd	C:/inetrship/rishul/www.thelogistixco.com/xmlrpc0db0.php	(from https://www.thelogistixco.com/)
07:02:56	3439/3439	---MCZ	200	added ('OK')	application/rss+xml	etag:%22bcbbb13f2e874ef3100d357bb0f5300f%22	https://www.thelogistixco.com/comments/feed/	C:/inetrship/rishul/www.thelogistixco.com/comments/feed/index.html	(from https://www.thelogistixco.com/)
07:02:56	40247/40247	---MCZ	200	added ('OK')	application/rss+xml	etag:%22bcbbb13f2e874ef3100d357bb0f5300f%22	https://www.thelogistixco.com/feed/	C:/inetrship/rishul/www.thelogistixco.com/feed/index.html	(from https://www.thelogistixco.com/)
07:02:56	221160/221160	---MCZ	200	added ('OK')	application/json	date:Sat,%2001%20Oct%202022%2014:02:56%20GMT	https://www.thelogistixco.com/wp-json/	C:/inetrship/rishul/www.thelogistixco.com/wp-json/index.html	(from https://www.thelogistixco.com/)
07:02:56	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2006%20Feb%202019%2014:48:10%20GMT	https://www.thelogistixco.com/wp-includes/wlwmanifest.xml	C:/inetrship/rishul/www.thelogistixco.com/wp-includes/wlwmanifest.xml	(from https://www.thelogistixco.com/)
07:02:57	5533/5533	---MCZ	200	added ('OK')	application/json	date:Sat,%2001%20Oct%202022%2014:02:58%20GMT	https://www.thelogistixco.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.thelogistixco.com%2F	C:/inetrship/rishul/www.thelogistixco.com/wp-json/oembed/1.0/embeda52d.json	(from https://www.thelogistixco.com/)
